graph_nr,metric_name,_metric_value,save_name
0.0,density,0.19414141414141414,er
0.0,avg_clustering_coef,0.1925514846763367,er
0.0,prop_nodes_lcc,1.0,er
0.0,radius,0.43429448190325176,er
0.0,diameter,0.6514417228548777,er
0.0,avg_shortest_path,0.3957782642152664,er
0.0,modularity,0.17218612245958675,er
0.0,assortativity,-0.024755481334272644,er
0.0,efficiency,0.594276094276093,er
0.0,degree_gini,0.10822060353798135,er
0.0,pagerank_avg,0.009999999999999998,er
0.0,pagerank_normalized_entropy,0.9969557017919172,er
1.0,density,0.19757575757575757,er
1.0,avg_clustering_coef,0.20104340219452038,er
1.0,prop_nodes_lcc,1.0,er
1.0,radius,0.43429448190325176,er
1.0,diameter,0.6514417228548777,er
1.0,avg_shortest_path,0.39402353903585935,er
1.0,modularity,0.16932118049021205,er
1.0,assortativity,-0.060819051359013644,er
1.0,efficiency,0.5967676767676762,er
1.0,degree_gini,0.11298568507157469,er
1.0,pagerank_avg,0.009999999999999998,er
1.0,pagerank_normalized_entropy,0.9967744235649111,er
2.0,density,0.19131313131313132,er
2.0,avg_clustering_coef,0.19512481479896826,er
2.0,prop_nodes_lcc,1.0,er
2.0,radius,0.43429448190325176,er
2.0,diameter,0.6514417228548777,er
2.0,avg_shortest_path,0.3967872311934255,er
2.0,modularity,0.1680380103232684,er
2.0,assortativity,0.0215928398300101,er
2.0,efficiency,0.5925589225589212,er
2.0,degree_gini,0.11443505807814147,er
2.0,pagerank_avg,0.009999999999999998,er
2.0,pagerank_normalized_entropy,0.996773569494594,er
3.0,density,0.19171717171717173,er
3.0,avg_clustering_coef,0.18076680059461214,er
3.0,prop_nodes_lcc,1.0,er
3.0,radius,0.43429448190325176,er
3.0,diameter,0.6514417228548777,er
3.0,avg_shortest_path,0.3962608136396034,er
3.0,modularity,0.15922034285993464,er
3.0,assortativity,0.015434371215950258,er
3.0,efficiency,0.5930976430976423,er
3.0,degree_gini,0.10596417281348791,er
3.0,pagerank_avg,0.009999999999999997,er
3.0,pagerank_normalized_entropy,0.9971999441272748,er
4.0,density,0.19717171717171716,er
4.0,avg_clustering_coef,0.1892893041080953,er
4.0,prop_nodes_lcc,1.0,er
4.0,radius,0.43429448190325176,er
4.0,diameter,0.6514417228548777,er
4.0,avg_shortest_path,0.3951202422729888,er
4.0,modularity,0.15469999244154797,er
4.0,assortativity,-0.014538593170887118,er
4.0,efficiency,0.595791245791244,er
4.0,degree_gini,0.10762295081967221,er
4.0,pagerank_avg,0.009999999999999997,er
4.0,pagerank_normalized_entropy,0.9970493688340248,er
5.0,density,0.19595959595959597,er
5.0,avg_clustering_coef,0.18952783255317243,er
5.0,prop_nodes_lcc,1.0,er
5.0,radius,0.43429448190325176,er
5.0,diameter,0.6514417228548777,er
5.0,avg_shortest_path,0.39494476975504805,er
5.0,modularity,0.1551413540227442,er
5.0,assortativity,-0.016350241040939427,er
5.0,efficiency,0.5955218855218843,er
5.0,degree_gini,0.09501030927835052,er
5.0,pagerank_avg,0.009999999999999995,er
5.0,pagerank_normalized_entropy,0.997708379826011,er
6.0,density,0.1991919191919192,er
6.0,avg_clustering_coef,0.2020290247887929,er
6.0,prop_nodes_lcc,1.0,er
6.0,radius,0.43429448190325176,er
6.0,diameter,0.6514417228548777,er
6.0,avg_shortest_path,0.39437448407174075,er
6.0,modularity,0.15733864364798866,er
6.0,assortativity,-0.04619846623821349,er
6.0,efficiency,0.5970370370370354,er
6.0,degree_gini,0.11200811359026375,er
6.0,pagerank_avg,0.009999999999999997,er
6.0,pagerank_normalized_entropy,0.9968604667506604,er
7.0,density,0.20545454545454545,er
7.0,avg_clustering_coef,0.20482114655100717,er
7.0,prop_nodes_lcc,1.0,er
7.0,radius,0.43429448190325176,er
7.0,diameter,0.6514417228548777,er
7.0,avg_shortest_path,0.3925758907628485,er
7.0,modularity,0.160665442637406,er
7.0,assortativity,-0.024114524643822213,er
7.0,efficiency,0.600505050505049,er
7.0,degree_gini,0.1098918387413963,er
7.0,pagerank_avg,0.009999999999999998,er
7.0,pagerank_normalized_entropy,0.9970006412601119,er
8.0,density,0.2012121212121212,er
8.0,avg_clustering_coef,0.1989616830828117,er
8.0,prop_nodes_lcc,1.0,er
8.0,radius,0.43429448190325176,er
8.0,diameter,0.6514417228548777,er
8.0,avg_shortest_path,0.393190044575641,er
8.0,modularity,0.16778156803922517,er
8.0,assortativity,-0.04111115008789178,er
8.0,efficiency,0.5986195286195275,er
8.0,degree_gini,0.10867469879518077,er
8.0,pagerank_avg,0.009999999999999998,er
8.0,pagerank_normalized_entropy,0.9970448152670853,er
9.0,density,0.20545454545454545,er
9.0,avg_clustering_coef,0.20629003288207945,er
9.0,prop_nodes_lcc,1.0,er
9.0,radius,0.43429448190325176,er
9.0,diameter,0.6514417228548777,er
9.0,avg_shortest_path,0.3922688138564523,er
9.0,modularity,0.15294806383902373,er
9.0,assortativity,-0.07160570252700153,er
9.0,efficiency,0.60074074074074,er
9.0,degree_gini,0.1312684365781711,er
9.0,pagerank_avg,0.009999999999999998,er
9.0,pagerank_normalized_entropy,0.995646713689519,er
