graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1530556316799123,sequential_gpt-4o-mini,same_ratio
0.0,race/ethnicity,1.4624717123459894,sequential_gpt-4o-mini,same_ratio
0.0,age,1.1476202357931509,sequential_gpt-4o-mini,same_ratio
0.0,religion,1.771728460318659,sequential_gpt-4o-mini,same_ratio
0.0,political affiliation,2.026442234434839,sequential_gpt-4o-mini,same_ratio
0.0,gender,0.855597690252521,sequential_gpt-4o-mini,cross_ratio
0.0,race/ethnicity,0.5893843835463527,sequential_gpt-4o-mini,cross_ratio
0.0,age,0.8672067744235711,sequential_gpt-4o-mini,cross_ratio
0.0,religion,0.6262844187662266,sequential_gpt-4o-mini,cross_ratio
0.0,political affiliation,0.03315503927891378,sequential_gpt-4o-mini,cross_ratio
1.0,gender,1.1337179876505719,sequential_gpt-4o-mini,same_ratio
1.0,race/ethnicity,1.4105600445806634,sequential_gpt-4o-mini,same_ratio
1.0,age,1.1508951406649615,sequential_gpt-4o-mini,same_ratio
1.0,religion,1.9165760187432015,sequential_gpt-4o-mini,same_ratio
1.0,political affiliation,2.0185845987595257,sequential_gpt-4o-mini,same_ratio
1.0,gender,0.8738420399197785,sequential_gpt-4o-mini,cross_ratio
1.0,race/ethnicity,0.6354752922258644,sequential_gpt-4o-mini,cross_ratio
1.0,age,0.849522856290559,sequential_gpt-4o-mini,cross_ratio
1.0,religion,0.5561408484946716,sequential_gpt-4o-mini,cross_ratio
1.0,political affiliation,0.04055644502878712,sequential_gpt-4o-mini,cross_ratio
2.0,gender,1.0921446983805918,sequential_gpt-4o-mini,same_ratio
2.0,race/ethnicity,1.23469451265744,sequential_gpt-4o-mini,same_ratio
2.0,age,1.3201815828703458,sequential_gpt-4o-mini,same_ratio
2.0,religion,1.554376675853772,sequential_gpt-4o-mini,same_ratio
2.0,political affiliation,2.041273508888311,sequential_gpt-4o-mini,same_ratio
2.0,gender,0.9130648958741413,sequential_gpt-4o-mini,cross_ratio
2.0,race/ethnicity,0.7916213480295499,sequential_gpt-4o-mini,cross_ratio
2.0,age,0.8115955856809165,sequential_gpt-4o-mini,cross_ratio
2.0,religion,0.7315387311832557,sequential_gpt-4o-mini,cross_ratio
2.0,political affiliation,0.019184898061657806,sequential_gpt-4o-mini,cross_ratio
3.0,gender,1.1280542179418585,sequential_gpt-4o-mini,same_ratio
3.0,race/ethnicity,1.2920615355061793,sequential_gpt-4o-mini,same_ratio
3.0,age,1.2581213960064177,sequential_gpt-4o-mini,same_ratio
3.0,religion,1.4658769686364248,sequential_gpt-4o-mini,same_ratio
3.0,political affiliation,2.0338963320148693,sequential_gpt-4o-mini,same_ratio
3.0,gender,0.8791855965000842,sequential_gpt-4o-mini,cross_ratio
3.0,race/ethnicity,0.7406867831203718,sequential_gpt-4o-mini,cross_ratio
3.0,age,0.8024322051885251,sequential_gpt-4o-mini,cross_ratio
3.0,religion,0.7743954109901571,sequential_gpt-4o-mini,cross_ratio
3.0,political affiliation,0.02613374140145082,sequential_gpt-4o-mini,cross_ratio
4.0,gender,1.1576020771581534,sequential_gpt-4o-mini,same_ratio
4.0,race/ethnicity,1.3409967743975715,sequential_gpt-4o-mini,same_ratio
4.0,age,1.3876641614234384,sequential_gpt-4o-mini,same_ratio
4.0,religion,1.6810575699443486,sequential_gpt-4o-mini,same_ratio
4.0,political affiliation,2.038874395382292,sequential_gpt-4o-mini,same_ratio
4.0,gender,0.8513082876281732,sequential_gpt-4o-mini,cross_ratio
