graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0764503247570427,sequential_gpt-4o,same_ratio
0.0,race/ethnicity,1.313735019491464,sequential_gpt-4o,same_ratio
0.0,age,1.4644957891577546,sequential_gpt-4o,same_ratio
0.0,religion,1.481782809729498,sequential_gpt-4o,same_ratio
0.0,political affiliation,2.045098226791996,sequential_gpt-4o,same_ratio
0.0,gender,0.9278719550878785,sequential_gpt-4o,cross_ratio
0.0,race/ethnicity,0.7214435067215376,sequential_gpt-4o,cross_ratio
0.0,age,0.6893828694975295,sequential_gpt-4o,cross_ratio
0.0,religion,0.7666928822449357,sequential_gpt-4o,cross_ratio
0.0,political affiliation,0.015582250871878091,sequential_gpt-4o,cross_ratio
1.0,gender,1.101513875480147,sequential_gpt-4o,same_ratio
1.0,race/ethnicity,1.3916112252398274,sequential_gpt-4o,same_ratio
1.0,age,1.3616471149305442,sequential_gpt-4o,same_ratio
1.0,religion,1.4456562958099626,sequential_gpt-4o,same_ratio
1.0,political affiliation,2.0541029902988317,sequential_gpt-4o,same_ratio
1.0,gender,0.904225424900356,sequential_gpt-4o,cross_ratio
1.0,race/ethnicity,0.6522994155765378,sequential_gpt-4o,cross_ratio
1.0,age,0.7471144283412876,sequential_gpt-4o,cross_ratio
1.0,religion,0.7841874309645909,sequential_gpt-4o,cross_ratio
1.0,political affiliation,0.007100321809534943,sequential_gpt-4o,cross_ratio
2.0,gender,1.1189716558006195,sequential_gpt-4o,same_ratio
2.0,race/ethnicity,1.1737713412971147,sequential_gpt-4o,same_ratio
2.0,age,1.3992070258054912,sequential_gpt-4o,same_ratio
2.0,religion,1.4108801415302963,sequential_gpt-4o,same_ratio
2.0,political affiliation,2.045278752900577,sequential_gpt-4o,same_ratio
2.0,gender,0.8877546568948218,sequential_gpt-4o,cross_ratio
2.0,race/ethnicity,0.8457133171091982,sequential_gpt-4o,cross_ratio
2.0,age,0.724627362994333,sequential_gpt-4o,cross_ratio
2.0,religion,0.8010280573998715,sequential_gpt-4o,cross_ratio
2.0,political affiliation,0.015412206467522277,sequential_gpt-4o,cross_ratio
3.0,gender,1.0918140835704715,sequential_gpt-4o,same_ratio
3.0,race/ethnicity,1.206562407472208,sequential_gpt-4o,same_ratio
3.0,age,1.3295226139042289,sequential_gpt-4o,same_ratio
3.0,religion,1.4538150013337754,sequential_gpt-4o,same_ratio
3.0,political affiliation,2.0490809421226794,sequential_gpt-4o,same_ratio
3.0,gender,0.9133768186808625,sequential_gpt-4o,cross_ratio
3.0,race/ethnicity,0.8165990524045385,sequential_gpt-4o,cross_ratio
3.0,age,0.7643150604976517,sequential_gpt-4o,cross_ratio
